,index,S,block,trial_count,trial_type,trial_code,trial_num,cor_resp,resp,RT
0,481,S2,T-A,1.0,per_K,per_4,32.0,1.0,left,0.0988716748543083
1,482,S2,T-A,2.0,per_K,per_11,39.0,1.0,left,0.976521423785016
2,483,S2,T-A,3.0,per_K,per_1,29.0,1.0,left,0.5819454896263778
3,484,S2,T-A,4.0,per_K,per_8,36.0,1.0,left,0.5456874205265194
4,485,S2,T-A,5.0,mem_K,mem_12,52.0,1.0,left,0.735981731209904
5,486,S2,T-A,6.0,per_K,per_6,34.0,1.0,left,0.6041408570017666
6,487,S2,T-A,7.0,mem_K,mem_5,45.0,0.0,right,0.0861913115950301
7,488,S2,T-A,8.0,mem_K,mem_1,41.0,0.0,right,0.6695935640018433
8,489,S2,T-A,9.0,per_K,per_7,35.0,1.0,left,0.4693174812709912
9,490,S2,T-A,10.0,mem_K,mem_11,51.0,1.0,left,0.3890222018817439
10,491,S2,T-A,11.0,mem_K,mem_10,50.0,1.0,left,0.6823412957601249
11,492,S2,T-A,12.0,mem_K,mem_3,43.0,0.0,right,0.5453723925165832
12,493,S2,T-A,13.0,mem_K,mem_4,44.0,0.0,right,0.0148326293565332
13,494,S2,T-A,14.0,per_K,per_5,33.0,1.0,left,0.2502154206158593
14,495,S2,T-A,15.0,per_K,per_3,31.0,1.0,left,0.5870106413494796
15,496,S2,T-A,16.0,mem_K,mem_2,42.0,0.0,right,0.4309988975292071
16,497,S2,T-A,17.0,per_K,per_2,30.0,1.0,left,0.5055842120200396
17,498,S2,T-A,18.0,per_K,per_10,38.0,1.0,left,0.4636001379694789
18,499,S2,T-A,19.0,mem_K,mem_8,48.0,0.0,right,0.4710693841334432
19,500,S2,T-A,20.0,per_K,per_9,37.0,1.0,left,0.4001511638052761
20,501,S2,T-A,21.0,mem_K,mem_6,46.0,0.0,right,0.0431258119642734
21,502,S2,T-A,22.0,mem_K,mem_7,47.0,0.0,right,0.5723076179856434
22,503,S2,T-A,23.0,per_K,per_12,40.0,1.0,left,0.4082905666437
23,504,S2,T-A,24.0,mem_K,mem_9,49.0,0.0,right,0.4438480028184131
24,505,S2,T-A,25.0,mem_K,mem_12,52.0,1.0,left,0.3884473235812038
25,506,S2,T-A,26.0,per_K,per_4,32.0,1.0,left,0.4150056060170755
