K_text,B_text,T_text,Anna_exit,trial_num,trial_code,cond,K_hit,B_hit,T_hit,book_move,start_shelf,mid_shelf,end_shelf,rectangle,rectangle_path,Todd_mid,Todd_final,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,frame_10,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,sessionInst.started,startSession.started,startSession.keys,startSession.rt,crossText.started,movingImage.started,staticImage.started,promptText3.started,rectImage.started,respText.started,keyResp.started,keyResp.keys,keyResp.rt,crossText.stopped,respText.stopped,keyResp.stopped,subject,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.265385851671454,23.265385851671454,left,7.3024940331233665,,,,,,,,,,,,,S1,T-M,2023-01-25_09h29.24.923,knowing_that_K_ONLY,2022.2.5,59.74359858080901,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,13,mem_4,mem_K,1,1,1,no,B-X-O,B-X-O,X-X-O,L,stimuli/blue-L.png,mB-M,m0,stimuli/m0_w0_B-X-O.png,stimuli/mW-R_w0_B-X-O.png,stimuli/mB-M_w0_B-X-O.png,stimuli/mB-M_w0_B-X-O.png,stimuli/mB-M_w0_X-X-O.png,stimuli/mW-L_w0_X-X-O.png,stimuli/m0_wW-R_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,0,0,12,,,,,,,,,30.63098753936356,37.24525356554659,38.02788736746879,38.02788736746879,38.02788736746879,38.893568293366116,38.893568293366116,left,1.354327387700323,,,,S1,T-M,2023-01-25_09h29.24.923,knowing_that_K_ONLY,2022.2.5,59.74359858080901,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,8,per_8,per_K,1,1,1,switch,O-X-B,B-X-O,B-X-X,L,stimuli/blue-L.png,mB-L,m0,stimuli/m0_w0_O-X-B.png,stimuli/m0_wW-R_O-X-B.png,stimuli/m0_none_O-X-B.png,stimuli/mW-R_none_O-X-B.png,stimuli/mB-L_none_O-X-B.png,stimuli/mB-L_none_B-X-O.png,stimuli/mB-L_none_B-X-X.png,stimuli/mW-L_none_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/m0_wW-L_B-X-X.png,0,1,1,7,,,,,,,,,40.27707429334987,46.95188089751173,47.69082876777975,47.69082876777975,47.69082876777975,48.57724925910588,48.57724925910588,left,0.31180211971513927,41.33752889628522,,,S1,T-M,2023-01-25_09h29.24.923,knowing_that_K_ONLY,2022.2.5,59.74359858080901,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,28,no_10,no_K,0,0,0,hide,O-B-O,O-B-O,X-O-X,L,stimuli/blue-L.png,mB-M,m0,stimuli/m0_w0_O-B-O.png,stimuli/m0_wW-R_O-B-O.png,stimuli/m0_none_O-B-O.png,stimuli/mW-R_none_O-B-O.png,stimuli/mB-M_none_O-B-O.png,stimuli/mB-M_none_O-B-O.png,stimuli/mB-M_none_X-O-X.png,stimuli/mW-L_none_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/m0_wW-L_X-O-X.png,0,2,2,27,,,,,,,,,48.91046817280585,55.563002737704664,56.30015571753029,56.30015571753029,56.30015571753029,57.210505193448626,57.210505193448626,right,0.7423814057256095,49.97609603800811,,,S1,T-M,2023-01-25_09h29.24.923,knowing_that_K_ONLY,2022.2.5,59.74359858080901,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,7,per_7,per_K,1,1,1,switch,B-X-O,O-X-B,X-X-B,R,stimuli/blue-R.png,mB-R,m0,stimuli/m0_w0_B-X-O.png,stimuli/m0_wW-R_B-X-O.png,stimuli/m0_none_B-X-O.png,stimuli/mW-R_none_B-X-O.png,stimuli/mB-R_none_B-X-O.png,stimuli/mB-R_none_O-X-B.png,stimuli/mB-R_none_X-X-B.png,stimuli/mW-L_none_X-X-B.png,stimuli/m0_none_X-X-B.png,stimuli/m0_wW-L_X-X-B.png,0,3,3,6,,,,,,,,,57.97707801469369,64.63083387492225,65.38942192017566,65.38942192017566,65.38942192017566,66.27723084500758,66.27723084500758,left,0.5862939524231479,59.043250923394226,,,S1,T-M,2023-01-25_09h29.24.923,knowing_that_K_ONLY,2022.2.5,59.74359858080901,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,5,per_5,per_K,1,1,1,no,X-B-O,O-B-O,X-B-O,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_X-B-O.png,stimuli/mW-R_w0_X-B-O.png,stimuli/mB-L_w0_X-B-O.png,stimuli/mB-L_w0_O-B-O.png,stimuli/mB-L_w0_X-B-O.png,stimuli/mW-L_w0_X-B-O.png,stimuli/m0_wW-R_X-B-O.png,stimuli/m0_none_X-B-O.png,stimuli/m0_none_X-B-O.png,stimuli/m0_wW-L_X-B-O.png,0,4,4,4,,,,,,,,,66.89385059964843,73.54578301811125,74.3070362911094,74.3070362911094,74.3070362911094,75.19372593576554,75.19372593576554,left,0.759017264645081,67.96224763261853,,,S1,T-M,2023-01-25_09h29.24.923,knowing_that_K_ONLY,2022.2.5,59.74359858080901,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,24,no_6,no_K,0,0,0,no,X-X-X,X-X-O,X-X-X,R,stimuli/blue-R.png,mB-R,m0,stimuli/m0_w0_X-X-X.png,stimuli/m0_wW-R_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/mW-R_none_X-X-X.png,stimuli/mB-R_none_X-X-X.png,stimuli/mB-R_none_X-X-O.png,stimuli/mB-R_none_X-X-X.png,stimuli/mW-L_none_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_wW-L_X-X-X.png,0,5,5,23,,,,,,,,,75.97704721760238,82.65367565961787,83.36809881485533,83.36809881485533,83.36809881485533,84.2771727797226,84.2771727797226,right,1.234698825806845,77.03890308615519,,,S1,T-M,2023-01-25_09h29.24.923,knowing_that_K_ONLY,2022.2.5,59.74359858080901,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,25,no_7,no_K,0,0,0,hide,B-X-X,B-O-O,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_B-X-X.png,stimuli/m0_wW-R_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/mW-R_none_B-X-X.png,stimuli/mB-L_none_B-X-X.png,stimuli/mB-L_none_B-O-O.png,stimuli/mB-L_none_O-X-X.png,stimuli/mW-L_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,6,6,24,,,,,,,,,85.54397882445483,92.2197795957909,92.9555582574103,92.9555582574103,92.9555582574103,93.84385704778833,93.84385704778833,right,0.6926323054358363,86.6058824925567,,,S1,T-M,2023-01-25_09h29.24.923,knowing_that_K_ONLY,2022.2.5,59.74359858080901,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,10,mem_1,mem_K,1,1,1,no,O-X-B,X-X-B,X-X-X,R,stimuli/blue-R.png,mB-M,m0,stimuli/m0_w0_O-X-B.png,stimuli/mW-R_w0_O-X-B.png,stimuli/mB-M_w0_O-X-B.png,stimuli/mB-M_w0_X-X-B.png,stimuli/mB-M_w0_X-X-X.png,stimuli/mW-L_w0_X-X-X.png,stimuli/m0_wW-R_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_wW-L_X-X-X.png,0,7,7,9,,,,,,,,,94.56079497438623,101.23644528933801,101.97365505126072,101.97365505126072,101.97365505126072,102.8607617392554,102.8607617392554,left,1.3789817069191486,95.61545941169607,,,S1,T-M,2023-01-25_09h29.24.923,knowing_that_K_ONLY,2022.2.5,59.74359858080901,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,14,mem_5,mem_K,1,1,1,no,O-B-X,O-B-X,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_O-B-X.png,stimuli/mW-R_w0_O-B-X.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-X-X.png,stimuli/mW-L_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,8,8,13,,,,,,,,,104.26075602899073,110.93466598994564,111.67521274019964,111.67521274019964,111.67521274019964,112.56075327005237,112.56075327005237,left,0.39201848179800436,105.32383575930726,,,S1,T-M,2023-01-25_09h29.24.923,knowing_that_K_ONLY,2022.2.5,59.74359858080901,
