K_text,B_text,T_text,Anna_exit,trial_num,trial_code,cond,K_hit,B_hit,T_hit,book_move,start_shelf,mid_shelf,end_shelf,rectangle,rectangle_path,Todd_mid,Todd_final,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,frame_10,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,sessionInst.started,startSession.started,startSession.keys,startSession.rt,crossText.started,movingImage.started,staticImage.started,promptText3.started,rectImage.started,respText.started,keyResp.started,keyResp.keys,keyResp.rt,crossText.stopped,subject,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.950639391550794,21.950639391550794,left,18.40408686711453,,,,,,,,,,,S3,K-M,2023-01-26_09h30.35.157,knowing_that_K_ONLY,2022.2.5,59.919420071189926,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,14,mem_5,mem_K,1,1,1,no,O-B-X,O-B-X,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_O-B-X.png,stimuli/mW-R_w0_O-B-X.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-X-X.png,stimuli/mW-L_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,0,0,13,,,,,,,,,40.4220270102378,47.03815497457981,47.82189265813213,47.82189265813213,47.82189265813213,48.6864940833766,48.6864940833766,right,2.548290509963408,,S3,K-M,2023-01-26_09h30.35.157,knowing_that_K_ONLY,2022.2.5,59.919420071189926,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,5,per_5,per_K,1,1,1,no,X-B-O,O-B-O,X-B-O,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_X-B-O.png,stimuli/mW-R_w0_X-B-O.png,stimuli/mB-L_w0_X-B-O.png,stimuli/mB-L_w0_O-B-O.png,stimuli/mB-L_w0_X-B-O.png,stimuli/mW-L_w0_X-B-O.png,stimuli/m0_wW-R_X-B-O.png,stimuli/m0_none_X-B-O.png,stimuli/m0_none_X-B-O.png,stimuli/m0_wW-L_X-B-O.png,0,1,1,4,,,,,,,,,51.25315204565413,57.927971161087044,58.6681752941804,58.6681752941804,58.6681752941804,59.55326541722752,59.55326541722752,left,0.22601128462702036,52.3155641858466,S3,K-M,2023-01-26_09h30.35.157,knowing_that_K_ONLY,2022.2.5,59.919420071189926,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,1,per_1,per_K,1,1,1,no,B-X-X,B-O-X,B-X-X,L,stimuli/blue-L.png,mB-M,m0,stimuli/m0_w0_B-X-X.png,stimuli/m0_wW-R_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/mW-R_none_B-X-X.png,stimuli/mB-M_none_B-X-X.png,stimuli/mB-M_none_B-O-X.png,stimuli/mB-M_none_B-X-X.png,stimuli/mW-L_none_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/m0_wW-L_B-X-X.png,0,2,2,0,,,,,,,,,59.80319243471604,66.45587713515852,67.19602448621299,67.19602448621299,67.19602448621299,68.10315534996334,68.10315534996334,left,0.6592468160670251,60.85806571447756,S3,K-M,2023-01-26_09h30.35.157,knowing_that_K_ONLY,2022.2.5,59.919420071189926,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,16,mem_7,mem_K,1,1,1,switch,B-X-O,O-X-B,O-X-X,R,stimuli/blue-R.png,mB-M,m0,stimuli/m0_w0_B-X-O.png,stimuli/mW-R_w0_B-X-O.png,stimuli/mB-M_w0_B-X-O.png,stimuli/mB-M_w0_O-X-B.png,stimuli/mB-M_w0_O-X-X.png,stimuli/mW-L_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,3,3,15,,,,,,,,,68.78670703212265,75.46182096516714,76.1753715374507,76.1753715374507,76.1753715374507,77.08654643839691,77.08654643839691,right,1.2356857277918607,69.84244679973926,S3,K-M,2023-01-26_09h30.35.157,knowing_that_K_ONLY,2022.2.5,59.919420071189926,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,25,no_7,no_K,0,0,0,hide,B-X-X,B-O-O,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_B-X-X.png,stimuli/m0_wW-R_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/mW-R_none_B-X-X.png,stimuli/mB-L_none_B-X-X.png,stimuli/mB-L_none_B-O-O.png,stimuli/mB-L_none_O-X-X.png,stimuli/mW-L_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,4,4,24,,,,,,,,,78.35324565588962,85.0277369110845,85.76780021179002,85.76780021179002,85.76780021179002,86.65349151892588,86.65349151892588,right,0.5903047395404428,79.41019516985398,S3,K-M,2023-01-26_09h30.35.157,knowing_that_K_ONLY,2022.2.5,59.919420071189926,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,20,no_2,no_K,0,0,0,no,X-O-X,O-O-X,X-O-X,L,stimuli/blue-L.png,mB-L,m0,stimuli/m0_w0_X-O-X.png,stimuli/m0_wW-R_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/mW-R_none_X-O-X.png,stimuli/mB-L_none_X-O-X.png,stimuli/mB-L_none_O-O-X.png,stimuli/mB-L_none_X-O-X.png,stimuli/mW-L_none_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/m0_wW-L_X-O-X.png,0,5,5,19,,,,,,,,,87.26981068158057,93.92277319706045,94.66091713600326,94.66091713600326,94.66091713600326,95.55341523210518,95.55341523210518,right,0.1775861366186291,88.33369755116291,S3,K-M,2023-01-26_09h30.35.157,knowing_that_K_ONLY,2022.2.5,59.919420071189926,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,13,mem_4,mem_K,1,1,1,no,B-X-O,B-X-O,X-X-O,L,stimuli/blue-L.png,mB-M,m0,stimuli/m0_w0_B-X-O.png,stimuli/mW-R_w0_B-X-O.png,stimuli/mB-M_w0_B-X-O.png,stimuli/mB-M_w0_B-X-O.png,stimuli/mB-M_w0_X-X-O.png,stimuli/mW-L_w0_X-X-O.png,stimuli/m0_wW-R_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,6,6,12,,,,,,,,,95.75322550942656,102.42881807987578,103.16754138830584,103.16754138830584,103.16754138830584,104.05327632452827,104.05327632452827,right,0.98135826154612,96.81700908066705,S3,K-M,2023-01-26_09h30.35.157,knowing_that_K_ONLY,2022.2.5,59.919420071189926,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,9,per_9,per_K,1,1,1,switch,X-O-B,X-B-O,X-B-X,M,stimuli/blue-M.png,mB-R,m0,stimuli/m0_w0_X-O-B.png,stimuli/m0_wW-R_X-O-B.png,stimuli/m0_none_X-O-B.png,stimuli/mW-R_none_X-O-B.png,stimuli/mB-R_none_X-O-B.png,stimuli/mB-R_none_X-B-O.png,stimuli/mB-R_none_X-B-X.png,stimuli/mW-L_none_X-B-X.png,stimuli/m0_none_X-B-X.png,stimuli/m0_wW-L_X-B-X.png,0,7,7,8,,,,,,,,,105.05311624403112,111.72796647739597,112.4647774817422,112.4647774817422,112.4647774817422,113.35343909973744,113.35343909973744,left,0.46505315008107573,106.10993647470605,S3,K-M,2023-01-26_09h30.35.157,knowing_that_K_ONLY,2022.2.5,59.919420071189926,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,15,mem_6,mem_K,1,1,1,no,X-B-O,X-B-X,X-X-X,M,stimuli/blue-M.png,mB-R,m0,stimuli/m0_w0_X-B-O.png,stimuli/mW-R_w0_X-B-O.png,stimuli/mB-R_w0_X-B-O.png,stimuli/mB-R_w0_X-B-X.png,stimuli/mB-R_w0_X-X-X.png,stimuli/mW-L_w0_X-X-X.png,stimuli/m0_wW-R_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_wW-L_X-X-X.png,0,8,8,14,,,,,,,,,113.83671662420966,120.5117612638278,121.24834129028022,121.24834129028022,121.24834129028022,122.13662885257509,122.13662885257509,right,0.618044858565554,114.8933924935991,S3,K-M,2023-01-26_09h30.35.157,knowing_that_K_ONLY,2022.2.5,59.919420071189926,
