trialNo,condition,opacityValue,onsetLatency,stimStartValue,stimShape,stimPath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,inst_text.started,inst_resp.started,welcome.stopped,inst_resp.keys,inst_resp.rt,inst_resp.duration,trial.started,cross.started,cross.stopped,stimulus.started,key_resp.started,stimulus.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,key_resp.stopped,thankyou.started,text.started,text.stopped,thankyou.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.056630600010976195,0.06198580004274845,0.06198580004274845,32.16133160004392,space,32.087021599989384,None,,,,,,,,,,,,,,,,S4,2023-10-30_14h02.34.401,example_experiment,2023.2.2,60.0527022613064,2023-10-30 14h02.45.702953 +0200,
36,low,0.05,2,3,pentagon,./stimuli/pentagon.png,0,0,0,35,32.23507170006633,,,,,,,,,32.223434700164944,32.23507170006633,33.242684200173244,35.21213860018179,35.21213860018179,35.4258742001839,36.227206100011244,space,1.0091453997883946,None,,,,,,S4,2023-10-30_14h02.34.401,example_experiment,2023.2.2,60.0527022613064,2023-10-30 14h02.45.702953 +0200,
13,high,1,0.5,1.5,pentagon,./stimuli/pentagon.png,0,1,1,12,36.24508630018681,,,,,,,,,36.22762260003947,36.24508630018681,37.259254900040105,37.74274990009144,37.74274990009144,37.94261749996804,38.06094930018298,space,0.30283710011281073,None,,,,,,S4,2023-10-30_14h02.34.401,example_experiment,2023.2.2,60.0527022613064,2023-10-30 14h02.45.702953 +0200,
11,high,1,1.5,2.5,square,./stimuli/square.png,0,2,2,10,38.09234920004383,,,,,,,,,38.06241720006801,38.09234920004383,39.092700500041246,40.57605120004155,40.57605120004155,40.77587980008684,40.89414740004577,space,0.30153460009023547,None,,,,,,S4,2023-10-30_14h02.34.401,example_experiment,2023.2.2,60.0527022613064,2023-10-30 14h02.45.702953 +0200,
14,high,1,1,2,pentagon,./stimuli/pentagon.png,0,3,3,13,40.91381840012036,,,,,,,,,40.89545960002579,40.91381840012036,41.92591010010801,42.90939260018058,42.90939260018058,43.109284800011665,43.19436470000073,space,0.2802031000610441,None,,,,,,S4,2023-10-30_14h02.34.401,example_experiment,2023.2.2,60.0527022613064,2023-10-30 14h02.45.702953 +0200,
27,low,0.05,1.5,2.5,circle,./stimuli/circle.png,0,4,4,26,43.224548200145364,,,,,,,,,43.1956776001025,43.224548200145364,44.22597960010171,45.70939250010997,45.70939250010997,45.90923109999858,46.19410379999317,space,0.47218899987637997,None,,,,,,S4,2023-10-30_14h02.34.401,example_experiment,2023.2.2,60.0527022613064,2023-10-30 14h02.45.702953 +0200,
19,high,1,1.5,2.5,heptagon,./stimuli/heptagon.png,0,5,5,18,46.215256800176576,,,,,,,,,46.1953384000808,46.215256800176576,47.22586480015889,48.70937449997291,48.70937449997291,48.909246100112796,49.027748099993914,space,0.3039993999991566,None,,,,,,S4,2023-10-30_14h02.34.401,example_experiment,2023.2.2,60.0527022613064,2023-10-30 14h02.45.702953 +0200,
32,low,0.05,2,3,square,./stimuli/square.png,0,6,6,31,49.04887600010261,,,,,,,,,49.02896889997646,49.04887600010261,50.059253700077534,52.04257620009594,52.04257620009594,52.24251430016011,52.49320610007271,space,0.4420386999845505,None,,,,,,S4,2023-10-30_14h02.34.401,example_experiment,2023.2.2,60.0527022613064,2023-10-30 14h02.45.702953 +0200,
37,low,0.05,0.5,1.5,heptagon,./stimuli/heptagon.png,0,7,7,36,52.510213600005955,,,,,,,,,52.493479300057516,52.510213600005955,53.52583290007897,53.99277570005506,53.99277570005506,54.19268590002321,54.44446220016107,space,0.4444768999237567,None,,,,,,S4,2023-10-30_14h02.34.401,example_experiment,2023.2.2,60.0527022613064,2023-10-30 14h02.45.702953 +0200,
38,low,0.05,1,2,heptagon,./stimuli/heptagon.png,0,8,8,37,54.463989900192246,,,,,,,,,54.44568660017103,54.463989900192246,55.47588980011642,56.459369300166145,56.459369300166145,56.65922520007007,56.84406210016459,space,0.36958560021594167,None,,,,,,S4,2023-10-30_14h02.34.401,example_experiment,2023.2.2,60.0527022613064,2023-10-30 14h02.45.702953 +0200,
